time,S,R,cycle,time2,N
9,1722283141238533,127805427644473712,9,113,129527710785712240
10,2836087522152617,190396582262020800,9,114,193232669784173408
11,4628322622041046,283640994272920576,9,115,288269316894961600
12,7496633954358186,422550723453476224,9,116,430047357407834432
13,12065570635844728,629489802642294528,9,117,641555373278139264
0,12065570635844728,629489802642294528,10,117,641555373278139264
1,2226393147942174,216369635449481344,10,118,218596028597423520
2,2080643344673607,293181268211675456,10,119,295261911556349056
3,2175628528090224,435366984695400320,10,120,437542613223490560
3,2175628528090224,435366984695400320,10,120,437542613223490560
4,4154311228201088,648582760490957056,10,121,652737071719158144
5,7551159265911136,966218215854395264,10,122,973769375120306432
6,13281598282787526,1439411771856726528,10,123,1452693370139514112
7,22818018379253144,2144346325154802688,10,124,2167164343534055936
8,38515947737168232,3194513714697975808,10,125,3233029662435144192
9,64126316436920040,4758987940917805056,10,126,4823114257354725376
10,105597717071240368,7089644435876989952,10,127,7195242152948230144
11,172330098043646272,1.0561711628089e+19,10,128,10734041726132611072
12,279129675980808064,1.5734181516183e+19,10,129,16013311192163854336
13,449251404543293632,2.3439805607893e+19,10,130,23889057012436267008
