time,S,R,cycle,time2,N
0,13212542.3299951,2311706022.26844,17,96,2324918564.59844
1,2438037.50342347,791970526.304267,17,97,794408563.807691
2,2278432.49978088,1070891531.84093,17,98,1073169964.34071
3,2382447.12076228,1587938134.85671,17,99,1590320581.97747
3,2382447.12076228,1587938134.85671,17,99,1590320581.97747
4,6868372.91244026,2365611448.94505,17,100,2372479821.85749
5,15183661.4614135,3524140368.6542,17,101,3539324030.11562
6,30006605.2838266,5250045720.96166,17,102,5280052326.24549
0,30006605.2838266,5250045720.96166,18,102,5280052326.24549
1,5536953.23770631,1798620340.38919,18,103,1804157293.62689
2,5174479.14104883,2432069411.06631,18,104,2437243890.20736
3,5410703.60092843,3606318333.44592,18,105,3611729037.04684
3,5410703.60092843,3606318333.44592,18,105,3611729037.04684
4,15598554.1211763,5372468706.98125,18,106,5388067261.10242
5,34483154.7091042,8003568742.46909,18,107,8038051897.1782
6,68147094.5877645,11923220256.0839,18,108,11991367350.6716
0,68147094.5877645,11923220256.0839,19,108,11991367350.6716
1,12574807.194914,4084792326.62187,19,109,4097367133.81678
2,11751603.226426,5523399377.29533,19,110,5535150980.52176
3,12288085.4595576,8190200635.96597,19,111,8202488721.42552
3,12288085.4595576,8190200635.96597,19,111,8202488721.42552
4,35425405.0186843,12201251401.6144,19,112,12236676806.633
5,78313650.9524328,18176663218.1721,19,113,18254976869.1246
6,154766807.910306,27078465375.1924,19,114,27233232183.1027
0,154766807.910306,27078465375.1924,20,114,27233232183.1027
1,28558264.756805,9276848469.24306,20,115,9305406733.99987
2,26688711.0915663,12544025487.9745,20,116,12570714199.0661
3,27907099.6850149,18600517274.095,20,117,18628424373.7801
3,27907099.6850149,18600517274.095,20,117,18628424373.7801
4,80453567.242128,27709893511.6057,20,118,27790347078.8479
5,177855767.091368,41280470797.0551,20,119,41458326564.1465
6,351486222.506084,61497084791.2368,20,120,61848571013.7429
