time,S,R,cycle,time2,N
0,1195,3805,1,0,5000
1,220.506753442518,1402.19296785252,1,1,1622.69972129504
2,206.071379477416,1980.44181191922,1,2,2186.51319139664
3,215.478915562066,3024.24218322132,1,3,3239.72109878339
3,215.478915562066,3024.24218322132,1,3,3239.72109878339
4,327.768965377697,4505.33108766474,1,4,4833.10005304244
5,498.377305656703,6711.76567768138,1,5,7210.14298333808
6,757.499563904041,9998.76863403441,1,6,10756.2681979385
0,757.499563904041,9998.76863403441,2,6,10756.2681979385
1,139.777212955736,3484.36887286493,2,7,3624.14608582067
2,130.626761233249,4761.90570054756,2,8,4892.53246178081
3,136.590112158963,7113.33812262698,2,9,7249.92823478594
3,136.590112158963,7113.33812262698,2,9,7249.92823478594
4,218.614917465903,10597.0140344116,2,10,10815.6289518776
5,348.252310019998,15786.7757624321,2,11,16135.0280724521
6,552.479939733158,23518.1547567148,2,12,24070.634696448
0,552.479939733158,23518.1547567148,3,12,24070.634696448
1,101.946073408239,8092.26237034809,3,13,8194.20844375633
2,95.272219844379,10972.3243347225,3,14,11067.5965545669
3,99.6215711223303,16301.1855223086,3,15,16400.8070934309
3,99.6215711223303,16301.1855223086,3,15,16400.8070934309
4,182.640174646027,24284.4977151595,3,16,24467.1378898056
5,323.151245252875,36177.5332937272,3,17,36500.68453898
6,557.591078065592,53895.0376226811,3,18,54452.6287007467
0,557.591078065592,53895.0376226811,4,18,54452.6287007467
1,102.889203551426,18484.9541184854,4,19,18587.8433220368
2,96.1536084062297,25013.0533428371,4,20,25109.2069512433
3,100.543196688438,37108.4606223547,4,21,37209.0038190432
3,100.543196688438,37108.4606223547,4,21,37209.0038190432
4,227.441806604142,55281.880924904,4,22,55509.3227315081
5,454.681866907619,82355.5012898205,4,23,82810.1831567281
6,850.190407440263,122688.129326257,4,24,123538.319733698
0,850.190407440263,122688.129326257,5,24,123538.319733698
1,156.880942663474,42044.4173033904,5,25,42201.2982460538
2,146.610803140305,56862.5944946287,5,26,57009.205297769
3,153.303854888689,84328.0493939523,5,27,84481.353248841
3,153.303854888689,84328.0493939523,5,27,84481.353248841
4,404.703235766429,125626.684179272,5,28,126031.387415039
5,865.941036725067,187150.800635791,5,29,188016.741672516
6,1682.43549023971,278805.663512335,5,30,280488.099002575
0,1682.43549023971,278805.663512335,6,30,280488.099002575
1,310.450533830971,95523.8890064161,6,31,95834.339540247
2,290.127031652085,129172.472206364,6,32,129462.599238016
3,303.371862375999,191546.014682757,6,33,191849.386545133
3,303.371862375999,191546.014682757,6,33,191849.386545133
4,852.352582555033,285353.338034999,6,34,286205.690617555
5,1867.1198808746,425101.604656701,6,35,426968.724537576
6,3672.64656848451,633290.007912382,6,36,636962.654480867
0,3672.64656848451,633290.007912382,7,36,636962.654480867
1,677.69319820995,216964.151969506,7,37,217641.845167716
2,633.328323934925,293379.728069255,7,38,294013.056393189
3,662.240922898961,435032.950403147,7,39,435695.191326046
3,662.240922898961,435032.950403147,7,39,435695.191326046
4,1895.90293588165,648085.027270483,7,40,649980.930206364
5,4180.96913299623,965476.647128061,7,41,969657.616261058
6,8252.32236760106,1438307.22475085,7,42,1446559.54711845
0,8252.32236760106,1438307.22475085,8,42,1446559.54711845
1,1522.75549378489,492754.302089285,8,43,494277.05758307
2,1423.06900506292,666297.794273374,8,44,667720.863278437
3,1488.03471406584,988001.285723206,8,45,989489.320437272
3,1488.03471406584,988001.285723206,8,45,989489.320437272
4,4281.94055179337,1471862.85323125,8,46,1476144.79378305
5,9459.82060507438,2192689.46409966,8,47,2202149.28470474
6,18688.762946453,3266532.75483245,8,48,3285221.5177789
0,18688.762946453,3266532.75483245,9,48,3285221.5177789
1,3448.53426504598,1119087.51195203,9,49,1122536.04621708
2,3222.77755493785,1513215.93138071,9,50,1516438.70893565
3,3369.90325889995,2243826.49841919,9,51,2247196.40167809
3,3369.90325889995,2243826.49841919,9,51,2247196.40167809
4,9710.38640231485,3342713.13105388,9,52,3352423.5174562
5,21462.7503060963,4979765.50316178,9,53,5001228.25346788
6,42411.9448006997,7418545.75638675,9,54,7460957.70118745
0,42411.9448006997,7418545.75638675,10,54,7460957.70118745
1,7826.04206155006,2541530.68105602,10,55,2549356.72311757
2,7313.71381723719,3436623.25434456,10,56,3443936.96816179
3,7647.59826205542,5095890.53714303,10,57,5103538.13540508
3,7647.59826205542,5095890.53714303,10,57,5103538.13540508
4,22044.4891319793,7591540.71121623,10,58,7613585.20034821
5,48730.771310217,11309403.7879954,10,59,11358134.5593056
6,96301.6593524785,16848048.2490677,10,60,16944349.9084202
0,96301.6593524785,16848048.2490677,11,60,16944349.9084202
1,17770.0136186185,5771996.44760171,11,61,5789766.46122033
2,16606.7078506408,7804813.81068785,11,62,7821420.51853849
3,17364.8345112202,11573125.433954,11,63,11590490.2684652
3,17364.8345112202,11573125.433954,11,63,11590490.2684652
4,50059.5137245452,17240922.3168099,11,64,17290981.8305344
5,110663.44195201,25684450.5708202,11,65,25795114.0127722
6,218696.550995607,38263101.2705138,11,66,38481797.8215094
0,218696.550995607,38263101.2705138,12,66,38481797.8215094
1,40354.8673583859,13108608.5082901,12,67,13148963.3756485
2,37713.0545295762,17725278.4142125,12,68,17762991.468742
3,39434.7246132444,26283377.0080822,12,69,26322811.7326954
3,39434.7246132444,26283377.0080822,12,69,26322811.7326954
4,113685.629251857,39155339.9988952,12,70,39269025.628147
5,251319.898985763,58331183.0015728,12,71,58582502.9005586
6,496668.422333275,86898178.1889378,12,72,87394846.6112711
0,496668.422333275,86898178.1889378,13,72,87394846.6112711
1,91647.4823821858,29770565.8577564,13,73,29862213.3401386
2,85647.8221059208,40255345.3094248,13,74,40340993.1315308
3,89557.8022149127,59691384.4578176,13,75,59780942.2600325
3,89557.8022149127,59691384.4578176,13,75,59780942.2600325
4,258186.19573535,88924511.2119974,13,76,89182697.4077328
5,570762.344287247,132474189.649887,13,77,133044951.994174
6,1127964.6470814,197351830.448386,13,78,198479795.095468
0,1127964.6470814,197351830.448386,14,78,198479795.095468
1,208137.090003846,67611033.4944466,14,79,67819170.5844504
2,194511.491150927,91422699.3347696,14,80,91617210.8259206
3,203391.2973467,135563300.72773,14,81,135766692.025076
3,203391.2973467,135563300.72773,14,81,135766692.025076
4,586357.794235999,201953772.139515,14,82,202540129.933751
5,1296239.51589282,300858131.759814,14,83,302154371.275707
6,2561684.04854842,448199782.651321,14,84,450761466.699869
0,2561684.04854842,448199782.651321,15,84,450761466.699869
1,472693.417080079,153549376.301041,15,85,154022069.718121
2,441748.759973476,207627331.300921,15,86,208069080.060894
3,461915.400785403,307873717.80609,15,87,308335633.206875
3,461915.400785403,307873717.80609,15,87,308335633.206875
4,1331658.83274351,458651112.209261,15,88,459982771.042005
5,2943849.45332787,683269816.091705,15,89,686213665.545033
6,5817761.83834369,1017892989.20734,15,90,1023710751.04568
0,5817761.83834369,1017892989.20734,16,90,1023710751.04568
1,1073519.47820565,348721350.67854,16,91,349794870.156746
2,1003242.01939301,471536160.793564,16,92,472539402.812957
3,1049041.85696098,699202701.165194,16,93,700251743.022155
3,1049041.85696098,699202701.165194,16,93,700251743.022155
4,3024289.76794284,1041628687.35378,16,94,1044652977.12172
5,6685687.00104067,1551753441.1194,16,95,1558439128.12044
6,13212542.3299951,2311706022.26844,16,96,2324918564.59844
