time,S,R,cycle,time2,N
7,34908722939.8685,4293959243393.66,13,103,4328867966333.53
8,61039621414.6828,6396873569720.64,13,104,6457913191135.33
0,61039621414.6828,6396873569720.64,14,104,6457913191135.33
1,11263304403.2666,2193571501187.52,14,105,2204834805590.79
2,10525957361.7311,2967878103544.96,14,106,2978404060906.69
3,11006486613.9929,4402653331000.94,14,107,4413659817614.93
3,11006486613.9929,4402653331000.94,14,107,4413659817614.93
4,25608513908.6762,6558799465650.08,14,108,6584407979558.75
5,51892252937.0281,9770890690201.82,14,109,9822782943138.84
6,97807036038.0664,14556068110341.9,14,110,14653875146380
7,176290773035.168,21684719945631.8,14,111,21861010718667
8,308253128545.332,32304547859975.8,14,112,32612800988521.1
0,308253128545.332,32304547859975.8,15,112,32612800988521.1
1,56880248264.9439,11077651399736,15,113,11134531648000.9
2,53156608977.7204,14987940435744.4,15,114,15041097044722.1
3,55583305636.9434,22233630743823.1,15,115,22289214049460
3,55583305636.9434,22233630743823.1,15,115,22289214049460
4,129324296111.942,33122282060049.9,15,116,33251606356161.8
5,262058537550.485,49343511585270.4,15,117,49605570122820.9
6,493930572509.181,73508909086337.3,15,118,74002839658846.5
7,890277520288.725,109508975566949,15,119,110399253087238
8,1556694278279.93,163139664757902,15,120,164696359036182
