time,S,R,Total,iteration,time2
0,1,1678435184.47761,1678435184.47761,26,75
1,1,2090769483.05172,2090769483.05172,26,76
2,1,3081416010.96801,3081416010.96801,26,77
3,1,4593176828.56159,4593176828.56159,26,78
0,1,4593176828.56159,4593176828.56159,27,78
1,1,5805298931.28996,5805298931.28996,27,79
2,1,8564335773.21615,8564335773.21615,27,80
3,1,12766890272.5216,12766890272.5216,27,81
0,1,12766890272.5216,12766890272.5216,28,81
1,1,16353021630.7973,16353021630.7973,28,82
2,1,24146700360.1732,24146700360.1732,28,83
3,1,35997764586.8874,35997764586.8874,28,84
0,1,35997764586.8874,35997764586.8874,29,84
1,1,46679100135.637,46679100135.637,29,85
2,1,68982899871.7438,68982899871.7438,29,86
3,1,102845044726.056,102845044726.056,29,87
0,1,102845044726.056,102845044726.056,30,87
1,1,134875973023.006,134875973023.006,30,88
2,1,199472870429.999,199472870429.999,30,89
3,1,297404814150.067,297404814150.067,30,90
0,1,297404814150.067,297404814150.067,31,90
1,1,394101748227.372,394101748227.372,31,91
2,1,583258749875.763,583258749875.763,31,92
3,1,869652721742.757,869652721742.757,31,93
0,1,869652721742.757,869652721742.757,32,93
1,1,1163461706307.88,1163461706307.88,32,94
2,1,1722995604727.59,1722995604727.59,32,95
3,1,2569139216399.15,2569139216399.15,32,96
0,1,2569139216399.15,2569139216399.15,33,96
1,1,3467413919897.45,3467413919897.45,33,97
2,1,5138004370413.36,5138004370413.36,33,98
3,1,7661527347891.85,7661527347891.85,33,99
0,1,7661527347891.85,7661527347891.85,34,99
1,1,10424088789880.1,10424088789880.1,34,100
2,1,15454782492939.2,15454782492939.2,34,101
3,1,23046206825455.5,23046206825455.5,34,102
0,1,23046206825455.5,23046206825455.5,35,102
1,1,31589630055567.9,31589630055567.9,35,103
2,1,46858279348011.7,46858279348011.7,35,104
3,1,69877519552131.1,69877519552131.1,35,105
0,1,69877519552131.1,69877519552131.1,36,105
1,1,96437356718749.2,96437356718749.2,36,106
2,1,143115469666660,143115469666660,36,107
3,1,213427894111239,213427894111239,36,108
0,1,213427894111239,213427894111239,37,108
1,1,296403294279103,296403294279103,37,109
2,1,440055760079540,440055760079540,37,110
3,1,656273235663068,656273235663068,37,111
0,1,656273235663068,656273235663068,38,111
1,1,916687054456562,916687054456562,38,112
2,1,1361489903628785,1361489903628785,38,113
3,1,2030498961784692,2030498961784692,38,114
0,1,2030498961784692,2030498961784692,39,114
1,1,2851293650033974,2851293650033974,39,115
2,1,4236335413604230,4236335413604230,39,116
3,1,6318138252882601,6318138252882601,39,117
0,1,6318138252882601,6318138252882601,40,117
1,1,8915496529993406,8915496529993406,40,118
2,1,13250629142574056,13250629142574056,40,119
3,1,19762636534457332,19762636534457332,40,120
